session_id,station_id,vehicle_type,connector_type,start_time,duration_minutes,energy_kwh,city,latitude,longitude,temperature_c,is_weekday,hour_of_day,Time of Day,Day of Week,Charging Rate (kW),Energy Consumed (kWh),Charging Duration (hours)
session_19,station_7,Tesla Model Y,Type 2,2025-04-25 23:10:08,109,16.210622093171878,San Antonio,43.07228215045264,-93.29695220825936,32.837562753964434,True,14,Night,Wednesday,350,16.210622093171878,1.8166666666666667
session_20,station_18,Volkswagen ID.4,CHAdeMO,2025-04-25 23:10:08,112,55.443735759348804,Houston,35.00002107011092,-89.03884700090607,10.364947769216254,False,14,Afternoon,Friday,350,55.443735759348804,1.8666666666666667
session_21,station_32,Tesla Model 3,Tesla Supercharger,2025-04-25 23:10:08,30,17.298626715034533,Houston,31.610937575758406,-102.25872736289136,14.18266056010825,False,22,Afternoon,Tuesday,150,17.298626715034533,0.5
session_22,station_40,Audi e-tron,CHAdeMO,2025-04-25 23:10:08,16,14.468684200559544,Houston,26.858763137339086,-110.83578568720588,32.666223236433645,False,15,Evening,Monday,50,14.468684200559544,0.26666666666666666
session_23,station_24,Nissan Leaf,CCS,2025-04-25 23:10:08,23,33.17316757604465,Los Angeles,38.34402684115574,-103.64543892299295,28.060752903587108,False,4,Evening,Friday,150,33.17316757604465,0.38333333333333336
session_24,station_22,Nissan Leaf,Tesla Supercharger,2025-04-25 23:10:08,102,14.508368915191006,Philadelphia,26.921468007000453,-100.69568434210045,21.195732092327418,True,4,Afternoon,Sunday,350,14.508368915191006,1.7
session_25,station_49,Chevy Bolt,Type 2,2025-04-25 23:10:08,19,60.96445831014011,San Francisco,25.899054595463802,-121.8786717831033,21.175477556157762,True,22,Night,Friday,50,60.96445831014011,0.31666666666666665
session_26,station_12,Ford Mustang Mach-E,CHAdeMO,2025-04-25 23:10:08,109,76.7717552649291,Dallas,40.897804794543724,-81.43077462344775,2.703094321926356,False,12,Night,Monday,50,76.7717552649291,1.8166666666666667
session_27,station_50,Rivian R1T,CCS,2025-04-25 23:10:08,68,17.693937673883262,San Francisco,27.865131616462467,-101.44489557210507,11.249773854363113,True,22,Morning,Saturday,50,17.693937673883262,1.1333333333333333
session_28,station_49,Tesla Model Y,Tesla Supercharger,2025-04-25 23:10:08,18,47.6771892286755,Phoenix,47.536881356008095,-83.8676413515924,19.089123143188345,False,18,Morning,Wednesday,150,47.6771892286755,0.3
session_29,station_36,Tesla Model 3,CCS,2025-04-25 23:10:08,100,25.924378260512547,Phoenix,25.534156809388357,-116.67438745765621,18.905793513176125,False,7,Morning,Wednesday,350,25.924378260512547,1.6666666666666667
session_30,station_45,Tesla Model 3,CHAdeMO,2025-04-25 23:10:08,45,17.111727025575902,San Diego,29.475160791832202,-107.79050307572356,-3.5012159242861154,True,20,Morning,Friday,50,17.111727025575902,0.75
session_31,station_33,Hyundai Kona Electric,Type 2,2025-04-25 23:10:08,48,55.305541721379576,Houston,43.013484862929324,-110.5929986320726,15.107705194135534,False,17,Night,Tuesday,150,55.305541721379576,0.8
session_32,station_44,Kia EV6,CHAdeMO,2025-04-25 23:10:08,88,79.65310230942256,New York,32.04248380659876,-92.66024101605944,0.15063344087569597,True,1,Night,Tuesday,150,79.65310230942256,1.4666666666666666
session_33,station_31,Audi e-tron,CHAdeMO,2025-04-25 23:10:08,62,79.698659213335,Phoenix,31.4294067959719,-88.34757237938175,28.708001148257836,False,5,Afternoon,Saturday,350,79.698659213335,1.0333333333333334
session_34,station_37,Audi e-tron,CHAdeMO,2025-04-25 23:10:08,112,34.10115631519571,Chicago,36.94817530102567,-92.22991795683248,-3.4767597918164332,False,0,Night,Tuesday,350,34.10115631519571,1.8666666666666667
session_35,station_47,Volkswagen ID.4,Type 2,2025-04-25 23:10:08,109,30.607665768314753,San Antonio,34.357724494479704,-96.29352868013072,-8.824091830044479,False,2,Afternoon,Saturday,50,30.607665768314753,1.8166666666666667
session_36,station_20,Volkswagen ID.4,Tesla Supercharger,2025-04-25 23:10:08,75,20.331264651533793,Los Angeles,28.189747971629707,-82.82781780438506,5.324355578939393,True,22,Afternoon,Tuesday,150,20.331264651533793,1.25
session_37,station_50,Chevy Bolt,Tesla Supercharger,2025-04-25 23:10:08,32,32.63172849902869,San Diego,26.063674585135843,-89.66399494730635,7.977302807378948,True,11,Evening,Tuesday,350,32.63172849902869,0.5333333333333333
session_38,station_5,Tesla Model Y,Type 2,2025-04-25 23:10:08,78,65.38460210126982,Los Angeles,31.4805771941085,-80.96221651542182,23.257541113034236,False,4,Morning,Sunday,150,65.38460210126982,1.3
session_39,station_11,Nissan Leaf,CCS,2025-04-25 23:10:08,119,65.21405852774134,Philadelphia,33.08396030874203,-88.02504371949286,29.379552607639397,True,9,Evening,Tuesday,350,65.21405852774134,1.9833333333333334
session_40,station_16,Rivian R1T,CHAdeMO,2025-04-25 23:10:08,69,67.94359446101245,Philadelphia,30.636921194290238,-92.45203507310354,29.32125692366032,False,0,Night,Wednesday,50,67.94359446101245,1.15
session_41,station_47,Hyundai Kona Electric,Tesla Supercharger,2025-04-25 23:10:08,76,33.92303683519167,New York,42.345324062390645,-104.85318871907766,6.251269604924655,False,19,Evening,Friday,350,33.92303683519167,1.2666666666666666
session_42,station_28,Volkswagen ID.4,Tesla Supercharger,2025-04-25 23:10:08,31,14.412516008494784,San Antonio,25.336265473858187,-101.28181119375085,9.170592666026998,True,5,Afternoon,Tuesday,150,14.412516008494784,0.5166666666666667
session_43,station_48,Tesla Model Y,CHAdeMO,2025-04-25 23:10:08,34,62.643313183037925,New York,26.15798754272046,-76.10148805400675,18.723664908970736,False,12,Morning,Thursday,150,62.643313183037925,0.5666666666666667
session_44,station_25,Tesla Model Y,CCS,2025-04-25 23:10:08,42,31.56729927003636,Chicago,32.30071147001109,-121.05088846004057,-0.32596292787619774,False,18,Evening,Wednesday,350,31.56729927003636,0.7
session_45,station_27,Volkswagen ID.4,Tesla Supercharger,2025-04-25 23:10:08,97,23.05173109491097,Los Angeles,37.609270292874044,-103.31432210101433,21.570022926296843,True,0,Morning,Tuesday,50,23.05173109491097,1.6166666666666667
session_46,station_29,Kia EV6,Type 2,2025-04-25 23:10:08,59,32.32651427703511,Los Angeles,32.88104411253716,-104.07491642592382,9.361860234123977,False,1,Morning,Sunday,50,32.32651427703511,0.9833333333333333
session_47,station_41,Ford Mustang Mach-E,Type 2,2025-04-25 23:10:08,51,50.3284715607178,Houston,46.54570234250098,-80.9190477020052,6.570293927684023,False,23,Night,Tuesday,150,50.3284715607178,0.85
session_48,station_23,Nissan Leaf,Tesla Supercharger,2025-04-25 23:10:08,31,67.34975964101292,Los Angeles,28.46243893313852,-116.12578158788841,-8.56970775000404,True,16,Evening,Friday,350,67.34975964101292,0.5166666666666667
session_49,station_16,Audi e-tron,CCS,2025-04-25 23:10:08,72,32.41850035024472,Philadelphia,40.07727827126804,-124.58872391963534,0.7865796468513508,False,22,Night,Thursday,150,32.41850035024472,1.2
session_50,station_32,Tesla Model 3,CHAdeMO,2025-04-25 23:10:08,97,12.672218815251725,Los Angeles,27.2155548926872,-115.00316777071744,29.142771533480108,False,12,Morning,Sunday,50,12.672218815251725,1.6166666666666667
session_51,station_3,Chevy Bolt,Tesla Supercharger,2025-04-25 23:10:08,110,72.13293918164904,Philadelphia,31.18247041091741,-100.52084003702649,21.585392038463333,False,1,Afternoon,Sunday,50,72.13293918164904,1.8333333333333333
session_52,station_9,Tesla Model Y,Tesla Supercharger,2025-04-25 23:10:08,51,28.62921986091557,San Diego,36.6915097831499,-105.590004170965,16.315310496145152,False,16,Afternoon,Sunday,350,28.62921986091557,0.85
session_53,station_34,Audi e-tron,CCS,2025-04-25 23:10:08,84,75.55018679109914,San Francisco,42.95368742934326,-89.3706631109862,9.512954454132704,True,2,Morning,Monday,50,75.55018679109914,1.4
session_54,station_4,Volkswagen ID.4,CCS,2025-04-25 23:10:08,50,44.477694183720224,San Francisco,28.110885222090992,-77.95497159975494,4.222366893927166,False,21,Afternoon,Thursday,50,44.477694183720224,0.8333333333333334
session_55,station_34,Rivian R1T,Tesla Supercharger,2025-04-25 23:10:08,59,10.897703473513333,Phoenix,32.75611549857995,-97.85787015510772,24.523816092720196,False,5,Evening,Saturday,350,10.897703473513333,0.9833333333333333
session_56,station_28,Rivian R1T,Tesla Supercharger,2025-04-25 23:10:08,58,58.20309213706907,San Francisco,33.25998905228408,-75.62095837797975,-3.8673209202707675,True,10,Morning,Friday,150,58.20309213706907,0.9666666666666667
session_57,station_33,Hyundai Kona Electric,CCS,2025-04-25 23:10:08,38,78.92824312452487,San Antonio,26.85899696896718,-108.1358517309478,30.15246424398591,True,20,Night,Wednesday,150,78.92824312452487,0.6333333333333333
session_58,station_21,Hyundai Kona Electric,CHAdeMO,2025-04-25 23:10:08,115,37.77950016504461,Phoenix,28.325130781989305,-108.35757076411079,3.901916363018403,False,23,Morning,Wednesday,50,37.77950016504461,1.9166666666666667
session_59,station_38,Volkswagen ID.4,CCS,2025-04-25 23:10:08,37,17.628181028150397,New York,39.54808269734768,-116.48032996553367,25.877067983405013,True,23,Night,Friday,350,17.628181028150397,0.6166666666666667
session_60,station_11,Kia EV6,CHAdeMO,2025-04-25 23:10:08,113,12.982270336158424,Philadelphia,39.22990463617185,-100.63491320678958,4.312482375745013,True,1,Afternoon,Monday,350,12.982270336158424,1.8833333333333333
session_61,station_8,Hyundai Kona Electric,Tesla Supercharger,2025-04-25 23:10:08,60,60.43105348966744,Chicago,28.684541629251488,-122.24435907017795,-6.292443354731356,False,16,Night,Thursday,350,60.43105348966744,1.0
session_62,station_40,Nissan Leaf,Type 2,2025-04-25 23:10:08,57,24.323838840266966,Philadelphia,25.19246550201613,-103.8986229276672,10.304116462073399,False,8,Evening,Friday,350,24.323838840266966,0.95
session_63,station_2,Nissan Leaf,Type 2,2025-04-25 23:10:08,116,52.61041113790532,Dallas,36.35862468830945,-116.22194991587266,21.468897045480514,True,14,Afternoon,Tuesday,50,52.61041113790532,1.9333333333333333
session_64,station_31,Tesla Model 3,Tesla Supercharger,2025-04-25 23:10:08,99,56.872151269677744,San Diego,33.77110378807713,-106.7052625397408,5.780395498084243,False,2,Night,Friday,350,56.872151269677744,1.65
session_65,station_18,Audi e-tron,Type 2,2025-04-25 23:10:08,21,14.490909149449427,New York,38.77356178396841,-122.71700763741315,24.566555749783276,False,22,Morning,Monday,150,14.490909149449427,0.35
session_66,station_35,Hyundai Kona Electric,Type 2,2025-04-25 23:10:08,58,53.77956024676588,Dallas,38.345440820737984,-101.9248027338745,11.732600025828802,False,18,Morning,Tuesday,50,53.77956024676588,0.9666666666666667
session_67,station_25,Hyundai Kona Electric,Type 2,2025-04-25 23:10:08,78,61.909386728446734,Dallas,28.40314188105596,-105.3450103244257,14.713302999405062,False,23,Night,Friday,50,61.909386728446734,1.3
session_68,station_29,Nissan Leaf,CHAdeMO,2025-04-25 23:10:08,80,42.38718385120253,Philadelphia,26.069782802768845,-77.34849286641432,0.32283388100891486,False,2,Afternoon,Friday,350,42.38718385120253,1.3333333333333333
session_69,station_1,Rivian R1T,Tesla Supercharger,2025-04-25 23:10:08,69,49.83168691780922,San Antonio,41.20027099230035,-113.27138251224345,31.939898518940538,False,15,Afternoon,Thursday,150,49.83168691780922,1.15
session_70,station_31,Rivian R1T,Type 2,2025-04-25 23:10:08,51,11.764447417956935,Houston,47.82216350739563,-98.90457076879484,10.214211101134623,True,13,Morning,Saturday,50,11.764447417956935,0.85
session_71,station_13,Audi e-tron,CHAdeMO,2025-04-25 23:10:08,15,67.44403442108108,San Diego,33.58311460371831,-91.64330059703768,22.246845049411085,False,14,Afternoon,Saturday,350,67.44403442108108,0.25
session_72,station_48,Ford Mustang Mach-E,CCS,2025-04-25 23:10:08,99,72.58124710805646,Dallas,46.59019541615178,-120.10449377341213,-3.863167683842984,True,19,Night,Saturday,150,72.58124710805646,1.65
session_73,station_1,Volkswagen ID.4,Tesla Supercharger,2025-04-25 23:10:08,114,42.82463704672833,Houston,27.43561425496934,-79.27040844285564,-1.186251770280025,False,23,Afternoon,Monday,350,42.82463704672833,1.9
session_74,station_8,Nissan Leaf,CCS,2025-04-25 23:10:08,20,23.516470745229775,Chicago,28.12368843590987,-81.8994918008119,6.666527245425705,True,18,Night,Thursday,350,23.516470745229775,0.3333333333333333
session_75,station_9,Tesla Model 3,CHAdeMO,2025-04-25 23:10:08,49,73.90184073429691,San Antonio,31.391912490512738,-92.61859750566876,23.66121319333056,False,19,Night,Saturday,350,73.90184073429691,0.8166666666666667
session_76,station_46,Tesla Model Y,Tesla Supercharger,2025-04-25 23:10:08,47,10.454340481700598,Philadelphia,38.899766964544966,-123.13599073656496,33.24018874790827,True,13,Afternoon,Sunday,350,10.454340481700598,0.7833333333333333
session_77,station_7,Rivian R1T,CHAdeMO,2025-04-25 23:10:08,43,78.6717620275996,Chicago,27.911252820032622,-84.14833329157935,3.7181241901767184,False,16,Night,Thursday,150,78.6717620275996,0.7166666666666667
session_78,station_13,Hyundai Kona Electric,CHAdeMO,2025-04-25 23:10:08,30,21.627758422199392,San Diego,38.91173535573315,-79.42460315363442,33.42039103108163,True,18,Night,Saturday,350,21.627758422199392,0.5
session_79,station_36,Volkswagen ID.4,CCS,2025-04-25 23:10:08,57,48.970710622789426,San Diego,25.29987925631324,-124.99420657231136,4.369498118003195,False,2,Morning,Tuesday,350,48.970710622789426,0.95
session_80,station_39,Kia EV6,Type 2,2025-04-25 23:10:08,103,65.37838762760731,Dallas,42.240908136512004,-76.50875997180843,-4.432561305643729,True,23,Night,Sunday,50,65.37838762760731,1.7166666666666666
session_81,station_12,Chevy Bolt,CHAdeMO,2025-04-25 23:10:08,40,45.799229659519085,San Antonio,35.13614893296496,-96.69200419288016,10.02592235841822,False,6,Evening,Thursday,350,45.799229659519085,0.6666666666666666
session_82,station_39,Ford Mustang Mach-E,Type 2,2025-04-25 23:10:08,33,70.05579080115893,Dallas,27.47668389138569,-78.13282421254362,16.971117765719185,True,12,Morning,Monday,50,70.05579080115893,0.55
session_83,station_18,Kia EV6,CCS,2025-04-25 23:10:08,117,58.439847059776206,Los Angeles,37.261598059800434,-122.96188395710251,16.974105260894593,False,2,Evening,Monday,150,58.439847059776206,1.95
session_84,station_23,Volkswagen ID.4,Tesla Supercharger,2025-04-25 23:10:08,100,74.1015288995939,Los Angeles,29.375191663124482,-121.54087277507901,9.456347873720429,False,16,Morning,Tuesday,50,74.1015288995939,1.6666666666666667
session_85,station_48,Tesla Model Y,Type 2,2025-04-25 23:10:08,114,66.13904595600076,Chicago,26.425642308637993,-97.15504278520788,31.665218576407398,True,14,Morning,Wednesday,150,66.13904595600076,1.9
session_86,station_30,Chevy Bolt,Type 2,2025-04-25 23:10:08,30,58.51091806196053,San Francisco,43.74327085732782,-95.31568865612022,25.3842954491507,True,7,Afternoon,Thursday,350,58.51091806196053,0.5
session_87,station_50,Tesla Model 3,Tesla Supercharger,2025-04-25 23:10:08,104,76.5673511549723,San Francisco,33.09631596178948,-71.7783280888168,-1.0095755825753532,True,17,Night,Tuesday,50,76.5673511549723,1.7333333333333334
session_88,station_33,Nissan Leaf,CCS,2025-04-25 23:10:08,82,48.67359414814414,Philadelphia,26.297142322405172,-88.2629054748271,34.72244576988103,False,3,Evening,Wednesday,350,48.67359414814414,1.3666666666666667
session_89,station_34,Chevy Bolt,CCS,2025-04-25 23:10:08,30,11.813971051853065,San Diego,34.079835504907976,-82.91700448293827,15.893702374384471,False,2,Afternoon,Sunday,350,11.813971051853065,0.5
session_90,station_18,Tesla Model 3,Tesla Supercharger,2025-04-25 23:10:08,88,11.156446480578069,Dallas,33.175548883084005,-76.64091379950149,4.807115350894772,True,16,Night,Thursday,50,11.156446480578069,1.4666666666666666
session_91,station_11,Chevy Bolt,Tesla Supercharger,2025-04-25 23:10:08,114,70.44916927992949,San Antonio,41.07090027721446,-84.30942626443732,-9.54393432130851,False,0,Night,Friday,50,70.44916927992949,1.9
session_92,station_5,Hyundai Kona Electric,Tesla Supercharger,2025-04-25 23:10:08,97,75.08688462856117,New York,33.11665824522599,-118.6429086678091,21.193133992448388,True,7,Evening,Friday,350,75.08688462856117,1.6166666666666667
session_93,station_10,Ford Mustang Mach-E,Type 2,2025-04-25 23:10:08,81,63.14796757609115,Chicago,26.846015897326964,-103.14034339278098,12.027122500306628,False,11,Morning,Monday,50,63.14796757609115,1.35
session_94,station_28,Rivian R1T,CCS,2025-04-25 23:10:08,24,12.029465072337665,Phoenix,42.32969366130433,-88.65573654775739,29.189717265854284,False,19,Night,Sunday,150,12.029465072337665,0.4
session_95,station_32,Chevy Bolt,CHAdeMO,2025-04-25 23:10:08,77,45.35391074822236,San Francisco,38.75964362110291,-120.72813081799276,11.70289684270196,True,22,Afternoon,Wednesday,350,45.35391074822236,1.2833333333333334
session_96,station_37,Nissan Leaf,Tesla Supercharger,2025-04-25 23:10:08,15,41.79829705030488,New York,30.9245323603512,-79.28335764492518,25.547695154252352,False,23,Evening,Sunday,350,41.79829705030488,0.25
session_97,station_34,Audi e-tron,CHAdeMO,2025-04-25 23:10:08,49,29.001640675798075,Los Angeles,37.8791834420753,-81.38726731139934,19.25441118093538,False,5,Night,Thursday,150,29.001640675798075,0.8166666666666667
session_98,station_46,Rivian R1T,Type 2,2025-04-25 23:10:08,119,37.25331258908102,Chicago,33.598741102941474,-117.82887333799144,18.37765990197924,True,1,Night,Tuesday,50,37.25331258908102,1.9833333333333334
session_99,station_22,Nissan Leaf,Type 2,2025-04-25 23:10:08,27,36.61922150957763,Philadelphia,28.909995570471644,-117.87767599207409,-9.116391547206392,False,13,Evening,Tuesday,350,36.61922150957763,0.45
session_100,station_4,Kia EV6,CHAdeMO,2025-04-25 23:10:08,58,23.284610197218143,Dallas,28.71153411098656,-106.7414760300799,9.094581881628681,True,5,Evening,Friday,350,23.284610197218143,0.9666666666666667
session_101,station_27,Hyundai Kona Electric,CHAdeMO,2025-04-25 23:10:08,56,45.60075695578473,San Antonio,39.728406672153966,-103.5389491517927,3.8029287977629718,False,13,Evening,Friday,350,45.60075695578473,0.9333333333333333
session_102,station_47,Chevy Bolt,CCS,2025-04-25 23:10:08,15,61.50556367159299,Chicago,43.85172668947007,-76.90031763639062,-5.303189384668292,True,18,Morning,Wednesday,350,61.50556367159299,0.25
session_103,station_9,Nissan Leaf,Type 2,2025-04-25 23:10:08,104,35.769096418642306,San Antonio,40.26052336744306,-74.75084590367737,2.329187963198665,True,7,Afternoon,Monday,350,35.769096418642306,1.7333333333333334
session_104,station_44,Ford Mustang Mach-E,Type 2,2025-04-25 23:10:08,85,19.925915318729412,San Diego,44.58592060776692,-123.63523581693818,29.69637041554776,True,15,Morning,Saturday,150,19.925915318729412,1.4166666666666667
session_105,station_12,Tesla Model 3,Type 2,2025-04-25 23:10:08,21,69.4244436820419,San Diego,47.215821008134796,-92.57115306224668,10.219154896275096,True,6,Afternoon,Sunday,150,69.4244436820419,0.35
session_106,station_33,Rivian R1T,Tesla Supercharger,2025-04-25 23:10:08,19,12.589888029136546,Phoenix,34.219026543484595,-113.38739171698148,28.95651378870911,False,16,Evening,Friday,350,12.589888029136546,0.31666666666666665
session_107,station_15,Tesla Model 3,Tesla Supercharger,2025-04-25 23:10:08,106,71.87528566283152,Philadelphia,28.602381386433187,-94.38857618993337,28.17304215760896,True,12,Afternoon,Tuesday,150,71.87528566283152,1.7666666666666666
session_108,station_38,Rivian R1T,Type 2,2025-04-25 23:10:08,104,44.85128760416065,San Diego,42.590168533885375,-103.78916755095838,11.418698650006164,False,23,Morning,Monday,150,44.85128760416065,1.7333333333333334
session_109,station_42,Tesla Model 3,Type 2,2025-04-25 23:10:08,94,48.73845711055428,San Francisco,45.38648234080353,-95.00359213363684,-4.888811515893712,False,23,Morning,Thursday,150,48.73845711055428,1.5666666666666667
session_110,station_46,Chevy Bolt,CCS,2025-04-25 23:10:08,32,75.01027070286676,Houston,33.10362188088101,-115.62818080374336,33.58076472363809,False,13,Night,Wednesday,50,75.01027070286676,0.5333333333333333
session_111,station_26,Ford Mustang Mach-E,CHAdeMO,2025-04-25 23:10:08,86,73.06231387353878,Dallas,35.37674506749278,-84.33001132018208,23.786553978628227,False,13,Morning,Thursday,150,73.06231387353878,1.4333333333333333
session_112,station_24,Kia EV6,Tesla Supercharger,2025-04-25 23:10:08,50,65.64920686713694,Los Angeles,40.940867608031795,-118.72209661542273,6.672285392526604,True,18,Evening,Wednesday,50,65.64920686713694,0.8333333333333334
session_113,station_39,Audi e-tron,CHAdeMO,2025-04-25 23:10:08,20,46.31253511652762,Los Angeles,30.381274239475484,-96.16319564859106,7.528439137390009,False,17,Night,Friday,350,46.31253511652762,0.3333333333333333
session_114,station_7,Tesla Model 3,CHAdeMO,2025-04-25 23:10:08,84,66.93506990665776,San Diego,42.43097688965107,-84.3044055080187,-4.454299275490987,True,15,Morning,Saturday,150,66.93506990665776,1.4
session_115,station_3,Tesla Model Y,CCS,2025-04-25 23:10:08,41,11.947287871121965,San Antonio,44.60019225074282,-84.21913487660268,16.804390463462553,False,0,Afternoon,Tuesday,150,11.947287871121965,0.6833333333333333
session_116,station_21,Chevy Bolt,Type 2,2025-04-25 23:10:08,65,51.52944787684015,Houston,25.789457607209453,-98.43244940775334,-2.2107367549254278,False,8,Morning,Thursday,150,51.52944787684015,1.0833333333333333
session_117,station_12,Volkswagen ID.4,CHAdeMO,2025-04-25 23:10:08,105,77.68467884478818,San Diego,39.11027105424323,-73.04546743141998,-5.742977773437119,False,12,Night,Saturday,50,77.68467884478818,1.75
session_118,station_10,Kia EV6,Type 2,2025-04-25 23:10:08,84,78.36589095579944,Houston,46.732845951873976,-117.80492216887976,11.00980745156879,True,3,Night,Thursday,350,78.36589095579944,1.4
session_119,station_6,Chevy Bolt,CHAdeMO,2025-04-25 23:10:08,110,49.25384826501074,Philadelphia,38.461560142621366,-121.14352923115094,12.68399638418478,True,10,Night,Monday,150,49.25384826501074,1.8333333333333333
session_120,station_36,Tesla Model Y,CCS,2025-04-25 23:10:08,18,42.62844416602237,San Francisco,43.24011569466485,-96.20670645798153,18.160637358794,False,20,Night,Saturday,50,42.62844416602237,0.3
session_121,station_37,Rivian R1T,Tesla Supercharger,2025-04-25 23:10:08,85,42.55839273804869,Houston,33.688287707357944,-76.9341069964589,16.984952045139217,True,13,Night,Tuesday,350,42.55839273804869,1.4166666666666667
session_122,station_23,Volkswagen ID.4,CHAdeMO,2025-04-25 23:10:08,43,28.74385627880441,Los Angeles,27.08251362400417,-91.67672003502662,-6.090100824541495,False,4,Afternoon,Friday,350,28.74385627880441,0.7166666666666667
session_123,station_16,Nissan Leaf,Type 2,2025-04-25 23:10:08,41,19.676058129873002,Houston,47.90165143272404,-99.58616156985255,-9.647178249383654,True,15,Morning,Sunday,50,19.676058129873002,0.6833333333333333
session_124,station_26,Hyundai Kona Electric,Type 2,2025-04-25 23:10:08,58,76.41921383745813,Los Angeles,29.27744676315325,-107.33008060939277,23.725899657449567,True,23,Afternoon,Thursday,350,76.41921383745813,0.9666666666666667
session_125,station_35,Volkswagen ID.4,CCS,2025-04-25 23:10:08,28,62.5028973770661,Los Angeles,31.95697643764077,-86.43127453189462,-0.6378442631285193,False,21,Morning,Saturday,50,62.5028973770661,0.4666666666666667
session_126,station_33,Nissan Leaf,Type 2,2025-04-25 23:10:08,78,37.28605966084453,Los Angeles,25.609077608026716,-88.69843209157708,10.885475517720131,False,5,Night,Monday,150,37.28605966084453,1.3
